epoch, loss, acc, lr
100,2.279050723,0.1146875,0.01
200,2.198253033,0.376875,0.01
300,2.060628487,0.556875,0.01
400,1.666225214,0.59375,0.01
500,1.343606793,0.6428125,0.01
600,1.166285661,0.7425,0.01
700,0.947253885,0.769375,0.01
800,0.812886415,0.7821875,0.01
900,0.696280152,0.834375,0.01
1000,0.634668405,0.830625,0.01
1100,0.577428583,0.8484375,0.01
1200,0.525698123,0.8590625,0.01
1300,0.520014715,0.8615625,0.01
1400,0.48000226,0.8709375,0.01
1500,0.434386501,0.87875,0.01
1600,0.426627761,0.8778125,0.01
1700,0.406725588,0.883125,0.01
1800,0.389941938,0.894375,0.01
1900,0.425151734,0.878125,0.01
2000,0.391062791,0.8865625,0.01
2100,0.397847512,0.8853125,0.01
2200,0.39416658,0.88375,0.01
2300,0.386422036,0.8896875,0.01
2400,0.352283792,0.89875,0.01
2500,0.366761627,0.8996875,0.01
2600,0.372642657,0.893125,0.01
2700,0.368178259,0.89375,0.01
2800,0.325174659,0.904375,0.01
2900,0.343130511,0.9028125,0.01
3000,0.351138891,0.8946875,0.01
3100,0.363101853,0.8971875,0.01
3300,0.344544229,0.89375,0.01
3400,0.324665831,0.911875,0.01
3500,0.323145659,0.9053125,0.01
3600,0.326996459,0.9053125,0.01
3700,0.310725694,0.9121875,0.01
3800,0.312744737,0.9109375,0.01
3900,0.306103565,0.913125,0.01
4000,0.296860272,0.9121875,0.01
4100,0.290061506,0.918125,0.01
4200,0.303568546,0.91,0.01
4300,0.294035945,0.9134375,0.01
4400,0.299139372,0.9140625,0.01
4500,0.288888225,0.914375,0.01
4600,0.279622852,0.913125,0.01
4700,0.26935093,0.9184375,0.01
4800,0.280326962,0.9203125,0.01
4900,0.279796094,0.9128125,0.01
5000,0.299224136,0.9146875,0.01
5100,0.273075873,0.9225,0.01
5200,0.272467393,0.91875,0.01
5300,0.268016589,0.9190625,0.01
5400,0.291452819,0.915625,0.01
5500,0.272209096,0.9184375,0.01
5600,0.285713218,0.9165625,0.01
5700,0.245495351,0.9240625,0.01
5800,0.238767437,0.9303125,0.01
5900,0.282294568,0.92,0.01
6000,0.230350147,0.934375,0.01
6100,0.246605386,0.9234375,0.01
6200,0.246648345,0.930625,0.01
6300,0.257904649,0.930625,0.01
6400,0.223574457,0.933125,0.01
6500,0.232673484,0.9296875,0.01
6600,0.24127053,0.93125,0.01
6700,0.240212305,0.9334375,0.01
6800,0.24619956,0.929375,0.01
6900,0.260496633,0.9225,0.01
7000,0.224273508,0.9390625,0.01
7100,0.230651679,0.9375,0.01
7200,0.230616992,0.9296875,0.01
7300,0.223913901,0.9365625,0.01
7400,0.233115128,0.9346875,0.01
7500,0.22040114,0.9384375,0.01
7600,0.220089325,0.9371875,0.01
7700,0.205775389,0.938125,0.01
7800,0.210446049,0.940625,0.01
7900,0.20158529,0.9428125,0.01
8000,0.202223208,0.93875,0.01
8100,0.200954178,0.9415625,0.01
8200,0.206293848,0.9425,0.01
8300,0.206329286,0.9425,0.01
8400,0.193379927,0.945625,0.01
8500,0.190617142,0.9440625,0.01
8600,0.218268598,0.935625,0.01
8700,0.211024993,0.93375,0.01
8800,0.2138214,0.935625,0.01
8900,0.219394798,0.938125,0.01
9000,0.203791413,0.938125,0.01
9100,0.194505074,0.9428125,0.01
9200,0.196958523,0.94375,0.01
9300,0.210623422,0.941875,0.01
9400,0.194168176,0.9465625,0.01
9500,0.181173729,0.9415625,0.01
9600,0.20096005,0.9421875,0.01
9700,0.200869916,0.94,0.01
9800,0.180251379,0.9453125,0.01
9900,0.180717247,0.944375,0.01
10000,0.200947976,0.945,0.01
10100,0.196027374,0.93875,0.01
10200,0.176250777,0.953125,0.01
10300,0.202393169,0.945,0.01
10400,0.199436471,0.9440625,0.01
10500,0.179884133,0.945625,0.01
10600,0.199440077,0.9434375,0.01
10700,0.18128731,0.9459375,0.01
10800,0.174993323,0.9484375,0.01
10900,0.177398071,0.9478125,0.01
11000,0.154040161,0.9540625,0.01
11100,0.178275676,0.9515625,0.01
11200,0.197496832,0.945625,0.01
11300,0.168138651,0.9509375,0.01
11400,0.178716444,0.9534375,0.01
11500,0.175700592,0.9515625,0.01
11600,0.153877471,0.9565625,0.01
11700,0.177978575,0.946875,0.01
11800,0.173947928,0.9503125,0.01
11900,0.157246106,0.9525,0.01
12000,0.169980493,0.94875,0.01
12100,0.176167973,0.9459375,0.01
12200,0.166090719,0.958125,0.01
12300,0.194269152,0.9475,0.01
12400,0.16031614,0.9528125,0.01
12500,0.173807726,0.94875,0.01
12600,0.167513186,0.953125,0.01
12700,0.165069052,0.9553125,0.01
12800,0.185342632,0.950625,0.01
12900,0.166005757,0.95125,0.01
13000,0.150041955,0.9603125,0.01
13100,0.145676309,0.9559375,0.01
13200,0.153673193,0.9575,0.01
13300,0.161530542,0.954375,0.01
13400,0.171185142,0.9546875,0.01
13500,0.147765302,0.9559375,0.01
13600,0.157606539,0.9534375,0.01
13700,0.15645691,0.95875,0.01
13800,0.152316136,0.9575,0.01
